Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,AgeatFirstBirth,DietBreadth,GestationLen,HabitatBreadth,HomeRange,LitterSize,LittersPerYear,MaxLongevity,NeonateBodyMass,PopulationDensity,SexualMaturityAge,Terrestriality,TrophicLevel
Chiroptera,Vespertilionidae,Kerivoula,argentata,Kerivoula argentata,NA,10.11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Sciuridae,Heliosciurus,gambianus,Heliosciurus gambianus,NA,248.36,NA,NA,NA,NA,NA,2.91,NA,NA,NA,NA,NA,NA,NA
Rodentia,Sciuridae,Heliosciurus,mutabilis,Heliosciurus mutabilis,diurnal,390,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Sciuridae,Heliosciurus,punctatus,Heliosciurus punctatus,NA,173.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Sciuridae,Heliosciurus,rufobrachium,Heliosciurus rufobrachium,diurnal,332.88,NA,2,NA,1,NA,2,NA,106.8,NA,NA,NA,above ground,herbivore
Rodentia,Sciuridae,Heliosciurus,ruwenzorii,Heliosciurus ruwenzorii,NA,291,NA,NA,NA,NA,NA,2.91,NA,NA,NA,NA,NA,NA,NA
Rodentia,Sciuridae,Heliosciurus,undulatus,Heliosciurus undulatus,NA,347.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carnivora,Herpestidae,Helogale,hirtula,Helogale hirtula,diurnal,484.63,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,ground dwelling,carnivore
Carnivora,Herpestidae,Helogale,parvula,Helogale parvula,diurnal,281.83,NA,1,54.08,1,0.21,3.49,2.25,131,NA,NA,423.04,ground dwelling,carnivore
Diprotodontia,Pseudocheiridae,Hemibelideus,lemuroides,Hemibelideus lemuroides,NA,993.59,NA,NA,NA,1,NA,1,NA,48,NA,700,NA,above ground,NA
Afrosoricida,Tenrecidae,Hemicentetes,nigriceps,Hemicentetes nigriceps,both,102.99,NA,1,55.32,NA,NA,2.84,2,31.2,7.29,NA,61.87,NA,carnivore
Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,Hemicentetes semispinosus,both,134,NA,1,53.07,2,NA,5.32,1.5,32.4,7.39,NA,48.57,ground dwelling,carnivore
Erinaceomorpha,Erinaceidae,Hemiechinus,auritus,Hemiechinus auritus,nocturnal,322.04,NA,3,37.18,2,0.03,3.74,1,81.6,9.5,NA,NA,ground dwelling,omnivore
